match_row_id,match_key,match_title,match_date,match_label,team_1,team_2,source_pdf,source_csv,batting_team_from_filename,sequence,innings_number,batting_team,ball,over_number,ball_in_over,bowler,batsman,detail,commentary,total_runs,batsman_runs,extras,extra_type,is_boundary,boundary_type,is_wicket,dismissal_kind,is_legal_ball
2026_04_27_minions_vs_akatsuki_corps__1,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,1,1,Minions,0.1,0,1,Parvathy LS,mythri M,no run,"Parvathy LS to mythri M, no run",0,0,0,,0,,0,,1
2026_04_27_minions_vs_akatsuki_corps__2,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,2,1,Minions,0.2,0,2,Parvathy LS,mythri M,no run,"Parvathy LS to mythri M, no run",0,0,0,,0,,0,,1
2026_04_27_minions_vs_akatsuki_corps__3,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,3,1,Minions,0.3,0,3,Parvathy LS,mythri M,no run,"Parvathy LS to mythri M, no run",0,0,0,,0,,0,,1
2026_04_27_minions_vs_akatsuki_corps__4,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,4,1,Minions,0.4,0,4,Parvathy LS,mythri M,no run,"Parvathy LS to mythri M, no run",0,0,0,,0,,0,,1
2026_04_27_minions_vs_akatsuki_corps__5,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,5,1,Minions,0.5,0,5,Parvathy LS,mythri M,no run,"Parvathy LS to mythri M, no run",0,0,0,,0,,0,,1
2026_04_27_minions_vs_akatsuki_corps__6,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,6,1,Minions,1.0,1,0,Parvathy LS,mythri M,"OUT Caught out, Caught by Akhil S Babu","Parvathy LS to mythri M, OUT Caught out, Caught by Akhil S Babu mythri M c Akhil S Babu b Parvathy LS (0r 6b 0x4s 0x6s SR: 0.00)",,,,,0,,1,out,1
2026_04_27_minions_vs_akatsuki_corps__7,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,7,1,Minions,1.1,1,1,Sibin k s,Sayooj Kalapurakkal,1 run,"Sibin k s to Sayooj Kalapurakkal, 1 run",1,1,0,,0,,0,,1
2026_04_27_minions_vs_akatsuki_corps__8,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,8,1,Minions,1.2,1,2,Sibin k s,Vinay LS,1 run,"Sibin k s to Vinay LS, 1 run",1,1,0,,0,,0,,1
2026_04_27_minions_vs_akatsuki_corps__9,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,9,1,Minions,1.3,1,3,Sibin k s,Sayooj Kalapurakkal,no run,"Sibin k s to Sayooj Kalapurakkal, no run",0,0,0,,0,,0,,1
2026_04_27_minions_vs_akatsuki_corps__10,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,10,1,Minions,1.4,1,4,Sibin k s,Sayooj Kalapurakkal,1 run,"Sibin k s to Sayooj Kalapurakkal, 1 run",1,1,0,,0,,0,,1
2026_04_27_minions_vs_akatsuki_corps__11,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,11,1,Minions,1.5,1,5,Sibin k s,Vinay LS,2 runs,"Sibin k s to Vinay LS, 2 runs",2,2,0,,0,,0,,1
2026_04_27_minions_vs_akatsuki_corps__12,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,12,1,Minions,2.0,2,0,Sibin k s,Vinay LS,2 runs,"Sibin k s to Vinay LS, 2 runs",2,2,0,,0,,0,,1
2026_04_27_minions_vs_akatsuki_corps__13,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,13,1,Minions,2.1,2,1,Sharath,Sayooj Kalapurakkal,1 run,"Sharath to Sayooj Kalapurakkal, 1 run",1,1,0,,0,,0,,1
2026_04_27_minions_vs_akatsuki_corps__14,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,14,1,Minions,2.3,2,3,Sharath,Sayooj Kalapurakkal,wide,"Sharath to Sayooj Kalapurakkal, wide",1,0,1,wide,0,,0,,0
2026_04_27_minions_vs_akatsuki_corps__15,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,15,1,Minions,2.3,2,3,Sharath,Sayooj Kalapurakkal,no run,"Sharath to Sayooj Kalapurakkal, no run",0,0,0,,0,,0,,1
2026_04_27_minions_vs_akatsuki_corps__16,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,16,1,Minions,2.4,2,4,Sharath,Sayooj Kalapurakkal,1 run,"Sharath to Sayooj Kalapurakkal, 1 run",1,1,0,,0,,0,,1
2026_04_27_minions_vs_akatsuki_corps__17,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,17,1,Minions,2.5,2,5,Sharath,Vinay LS,wide,"Sharath to Vinay LS, wide",1,0,1,wide,0,,0,,0
2026_04_27_minions_vs_akatsuki_corps__18,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,18,1,Minions,2.5,2,5,Sharath,Vinay LS,1 run,"Sharath to Vinay LS, 1 run",1,1,0,,0,,0,,1
2026_04_27_minions_vs_akatsuki_corps__19,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,19,1,Minions,3.0,3,0,Sharath,Sayooj Kalapurakkal,1 run,"Sharath to Sayooj Kalapurakkal, 1 run",1,1,0,,0,,0,,1
2026_04_27_minions_vs_akatsuki_corps__20,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,20,1,Minions,3.1,3,1,Prashanth,Sayooj Kalapurakkal,no run,"Prashanth to Sayooj Kalapurakkal, no run",0,0,0,,0,,0,,1
2026_04_27_minions_vs_akatsuki_corps__21,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,21,1,Minions,3.2,3,2,Prashanth,Sayooj Kalapurakkal,no run,"Prashanth to Sayooj Kalapurakkal, no run",0,0,0,,0,,0,,1
2026_04_27_minions_vs_akatsuki_corps__22,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,22,1,Minions,3.3,3,3,Prashanth,Sayooj Kalapurakkal,"OUT Caught out, Caught by Akhil","Prashanth to Sayooj Kalapurakkal, OUT Caught out, Caught by Akhil S Babu Sayooj Kalapurakkal c Akhil S Babu b Prashanth (5r 10b 0x4s 0x6s SR: 50.00)",,,,,0,,1,out,1
2026_04_27_minions_vs_akatsuki_corps__23,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,23,1,Minions,3.4,3,4,Prashanth,Vignesh,OUT Bowled,"Prashanth to Vignesh, OUT Bowled Vignesh b Prashanth (0r 1b 0x4s 0x6s SR: 0.00)",,,,,0,,1,out,1
2026_04_27_minions_vs_akatsuki_corps__24,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,24,1,Minions,3.5,3,5,Prashanth,Lokesh,no run,"Prashanth to Lokesh, no run",0,0,0,,0,,0,,1
2026_04_27_minions_vs_akatsuki_corps__25,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,25,1,Minions,4.0,4,0,Prashanth,Lokesh,no run,"Prashanth to Lokesh, no run",0,0,0,,0,,0,,1
2026_04_27_minions_vs_akatsuki_corps__26,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,26,1,Minions,4.1,4,1,Jahir,Vinay LS,1 run,"Jahir to Vinay LS, 1 run",1,1,0,,0,,0,,1
2026_04_27_minions_vs_akatsuki_corps__27,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,27,1,Minions,4.2,4,2,Jahir,Lokesh,no run,"Jahir to Lokesh, no run",0,0,0,,0,,0,,1
2026_04_27_minions_vs_akatsuki_corps__28,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,28,1,Minions,4.3,4,3,Jahir,Lokesh,no run,"Jahir to Lokesh, no run",0,0,0,,0,,0,,1
2026_04_27_minions_vs_akatsuki_corps__29,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,29,1,Minions,4.4,4,4,Jahir,Lokesh,1 run,"Jahir to Lokesh, 1 run",1,1,0,,0,,0,,1
2026_04_27_minions_vs_akatsuki_corps__30,2026_04_27_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-27,Minions vs Akatsuki Corps (2026-04-27),Minions,Akatsuki Corps,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-27 _ CricHeroes.csv,Minions,30,1,Minions,4.5,4,5,Jahir,Vinay LS,no run,"Jahir to Vinay LS, no run",0,0,0,,0,,0,,1
